"Shop by ", "Compre por "
"Department", "Departamento"
"Your Price:", "Su precio"
"You save:", "Usted ahorra"
"Search", "Buscar"
"by", "por"
"Cart subtotal ", " Subtotal en el cesta"
"Cart subtotal", "Subtotal en el cesta"
"FREE shipping!", "envío gratis"
"Only ", "Sólo "
"You have reached ", "Has alcanzado el "
" more to reach ", " hasta el "
"Quantity:", "Cantidad:"
"Welcome", "Bienvenidos"
"Zoom", "Ampiliar"
"Read Sample Chapter!", "Ver un capítulo de muestra!",
"New!", "¡Nuevo!"
"Continue Shopping","Seguir comprando"
"Continue Shopping &rarr;","Seguir comprando →"
"only %s until free shipping!", "Sólo %s hasta el envío gratuito!"
"You have reached free shipping!", "Has alcanzado el envío gratis!"
"Free gift <b>%s</b> was added to your shopping cart", "Regalo gratis <b>%s</b> ha sido añadido a tu cesta"
"Cart", "Cesta"
"View and Edit Cart", "Ver y editar cesta"
"Enter your card details:", "Ingrese los detalles de su tarjeta:"
"Your card details are protected using PCI DSS v3.2 security standards.", "Los detalles de su tarjeta están protegidos por los estándares de seguridad PCI DDS v.3"